<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220103,000000,279.9000000,289.7900000,279.1300000,289.7400000,4728260
20220104,000000,289.9000000,293.0000000,286.0200000,289.0100000,6340660
20220105,000000,288.9400000,288.9400000,274.1700000,274.8000000,9557670
20220106,000000,275.4500000,280.9600000,272.3700000,279.0500000,11539190
20220110,000000,280.5000000,283.5000000,274.5000000,277.8000000,8100170
20220111,000000,278.4700000,278.7800000,275.1000000,278.1500000,6653160
20220112,000000,278.4300000,279.4400000,272.1100000,276.0000000,9318310
20220113,000000,275.9200000,276.0000000,260.0000000,263.9500000,19975260
20220114,000000,265.1800000,268.8900000,241.0300000,252.6400000,45583190
20220117,000000,253.6500000,256.4900000,240.0000000,250.6500000,28554120
20220118,000000,251.1500000,251.6600000,223.0000000,228.6100000,44802680
20220119,000000,228.5700000,242.6500000,216.5100000,238.5000000,42111280
20220120,000000,237.6000000,250.7200000,232.1400000,244.0000000,38837780
20220121,000000,242.8600000,249.6000000,238.2900000,239.1200000,24047300
20220124,000000,238.1200000,241.8000000,220.0000000,230.6300000,33742960
20220125,000000,231.0000000,236.3400000,223.2100000,231.6000000,21347780
20220126,000000,231.6700000,237.3100000,226.8800000,230.1400000,18060350
20220127,000000,228.5000000,249.2100000,227.3100000,243.5300000,21876510
20220128,000000,245.8400000,252.0000000,243.0400000,246.9000000,15933420
20220131,000000,247.6200000,256.1000000,245.9000000,255.5300000,13612040
20220201,000000,256.0000000,258.8600000,249.5600000,252.6000000,11769880
20220202,000000,253.1400000,254.1000000,245.2500000,249.1200000,11128000
20220203,000000,249.1200000,249.6500000,239.4800000,239.9000000,11261720
20220204,000000,241.4100000,247.5700000,240.5200000,245.0000000,13347030
20220207,000000,244.4900000,248.3000000,242.1100000,245.5800000,6120620
20220208,000000,246.2400000,255.9800000,244.6700000,255.6800000,11182070
20220209,000000,257.1000000,265.8000000,256.3700000,265.2100000,15569280
20220210,000000,264.7200000,267.2800000,258.4100000,261.0000000,11582260
20220211,000000,260.0000000,261.7900000,249.2000000,250.8600000,17104110
20220214,000000,249.0000000,249.0000000,237.1100000,245.1000000,27261900
20220215,000000,246.2500000,258.8800000,246.0200000,258.8800000,19270530
20220216,000000,260.9000000,266.0000000,259.4500000,262.4900000,17262150
20220217,000000,261.6400000,261.9800000,248.4000000,250.0800000,17055810
20220218,000000,251.4300000,255.5500000,235.0000000,240.0000000,20189220
20220221,000000,237.8600000,247.0700000,180.2000000,195.0100000,103909040
20220222,000000,194.5000000,211.5600000,176.0000000,204.3000000,99763050
20220224,000000,183.5300000,183.5300000,101.0000000,132.0000000,55831960
20220225,000000,118.8000000,159.8700000,115.0000000,131.3000000,32401330
20220324,000000,130.0600000,157.9500000,130.0000000,135.4000000,17306040
20220325,000000,148.0000000,148.0000000,130.0000000,131.0000000,6109520
20220328,000000,131.0000000,132.4300000,125.0000000,126.9400000,3572910
20220329,000000,127.2500000,143.9000000,123.0500000,130.8000000,11059670
20220330,000000,141.7000000,141.7000000,132.3000000,135.5000000,3781110
20220331,000000,139.9500000,147.0000000,136.1000000,145.9000000,9064210
20220401,000000,149.5000000,162.0000000,146.4100000,159.0000000,12546280
20220404,000000,161.9900000,174.8000000,159.0000000,173.4500000,11435910
20220405,000000,177.1000000,178.0000000,149.5000000,159.9900000,15747890
20220406,000000,149.0000000,158.3900000,145.5000000,149.7900000,10011990
20220407,000000,148.8000000,155.4700000,148.8000000,152.7000000,5316680
20220408,000000,153.7000000,154.3900000,147.4000000,148.9900000,3939520
20220411,000000,148.2000000,151.0000000,142.0000000,143.5800000,4278650
20220412,000000,143.5500000,144.2400000,135.0000000,139.5000000,5310320
20220413,000000,140.0100000,143.0000000,137.1100000,139.9900000,2419410
20220414,000000,141.4500000,141.9800000,133.0000000,133.0000000,2315630
20220415,000000,133.3000000,135.9000000,128.0000000,132.9000000,4735110
20220418,000000,136.1100000,139.2500000,128.3200000,128.5500000,5905580
20220419,000000,129.5000000,129.5700000,118.8000000,125.5000000,7480470
20220420,000000,125.9900000,129.3500000,121.6300000,125.0500000,4910910
20220421,000000,126.4200000,126.8800000,122.6000000,123.1200000,1974830
20220422,000000,123.1500000,126.1000000,121.4700000,123.2700000,2822410
20220425,000000,123.2700000,123.2700000,118.0500000,118.5100000,2988850
20220426,000000,118.8900000,128.8800000,117.0000000,125.4500000,5119900
20220427,000000,126.0000000,134.5000000,124.5100000,134.0000000,5962050
20220428,000000,134.9900000,136.8800000,126.5000000,126.5000000,6006440
20220429,000000,126.9800000,131.0000000,126.1000000,130.4000000,3924110
20220504,000000,130.4100000,132.2300000,124.2800000,124.8000000,3460040
20220505,000000,125.2800000,126.8700000,125.0000000,125.4700000,1521430
20220506,000000,125.4600000,125.4700000,123.0000000,124.2000000,1289310
20220511,000000,124.2000000,126.4100000,120.9000000,121.1100000,5803570
20220512,000000,120.0000000,121.9000000,115.6000000,116.6000000,6675200
20220513,000000,117.8900000,117.9300000,115.3300000,116.7000000,3887980
20220516,000000,116.7400000,119.8900000,116.0000000,119.8400000,4739590
20220517,000000,120.8000000,124.0000000,120.0500000,123.8000000,3637820
20220518,000000,123.8000000,127.3000000,122.1000000,122.3300000,5004720
20220519,000000,122.4100000,123.4700000,120.3000000,122.8100000,2364410
20220520,000000,123.4000000,124.7000000,118.3800000,119.9400000,4811620
20220523,000000,119.0000000,119.1400000,117.0000000,117.0500000,3274480
20220524,000000,117.0500000,121.7200000,115.0000000,118.7400000,6214630
20220525,000000,119.7600000,121.0200000,114.6900000,115.9900000,16804030
20220526,000000,117.0100000,117.6300000,113.4900000,113.7500000,15837620
20220527,000000,113.9600000,114.3400000,111.3800000,111.5800000,12821140
20220530,000000,111.4000000,113.6500000,111.2100000,111.8400000,8389630
20220531,000000,111.7000000,112.6900000,109.0800000,111.6100000,5168630
20220601,000000,111.8400000,114.5000000,111.6800000,113.1900000,5013000
20220602,000000,113.3500000,114.2500000,111.8000000,112.1100000,3324980
20220603,000000,112.1200000,113.1500000,110.5500000,112.0200000,3702690
20220606,000000,112.5000000,113.8200000,111.6300000,113.7000000,4489060
20220607,000000,113.7400000,113.8000000,112.3000000,113.0000000,3142690
20220608,000000,113.7000000,117.4800000,112.1000000,115.1400000,6846590
20220609,000000,115.3000000,115.6000000,112.7500000,113.9400000,4749420
20220610,000000,114.0000000,115.3000000,113.6300000,114.1000000,2562320
20220614,000000,113.9800000,115.4500000,110.0000000,114.4900000,3708190
20220615,000000,115.0000000,118.0000000,114.7600000,116.5100000,7982070
20220616,000000,117.0900000,118.0000000,116.0000000,117.3900000,6102100
20220617,000000,117.9000000,119.0800000,117.5200000,118.4000000,4255360
20220620,000000,118.7300000,124.9000000,118.3200000,124.8400000,6735980
20220621,000000,125.9000000,126.9500000,122.0100000,123.3000000,7595790
20220622,000000,122.0200000,127.8000000,121.0300000,127.8000000,6954960
20220623,000000,128.0000000,132.1000000,125.7000000,130.5000000,8075060
20220624,000000,130.2900000,131.6600000,128.1100000,130.1800000,3888020
20220627,000000,129.9100000,134.3500000,129.9000000,134.2000000,6073040
20220628,000000,134.6000000,134.9700000,132.1700000,133.3600000,4167560
20220629,000000,133.3600000,133.3900000,127.7900000,127.9900000,5114660
20220630,000000,127.9200000,129.9200000,119.1200000,121.2100000,13233490
20220701,000000,121.2500000,127.8500000,118.5900000,126.5000000,8318550
20220704,000000,126.0000000,128.7300000,123.3000000,127.0000000,5212580
20220705,000000,127.0600000,129.6500000,126.1100000,127.7900000,6119840
20220706,000000,128.0200000,130.7600000,126.0000000,127.0000000,5697260
20220707,000000,127.0100000,128.4900000,125.2200000,126.2000000,3558180
20220708,000000,126.6400000,126.9900000,124.4400000,126.5000000,2929720
20220711,000000,125.7200000,127.1800000,121.5000000,121.9900000,4601710
20220712,000000,121.6400000,123.2000000,118.9900000,122.6700000,6058660
20220713,000000,122.7100000,123.5000000,119.4100000,120.3600000,3476400
20220714,000000,120.1000000,121.8400000,118.2000000,120.4900000,3287400
20220715,000000,120.9100000,123.5000000,119.2700000,122.9600000,3358710
20220718,000000,123.5100000,124.3100000,121.0100000,122.3900000,2903240
20220719,000000,122.4100000,122.8900000,119.5200000,121.3900000,2813590
20220720,000000,121.3900000,122.3000000,120.0500000,120.2800000,2728670
20220721,000000,120.2700000,120.4700000,117.0000000,119.5000000,4022320
20220722,000000,119.8900000,123.0000000,119.2100000,122.9800000,3679070
20220725,000000,123.8900000,125.9500000,121.2900000,125.0000000,4132960
20220726,000000,125.1200000,127.1900000,125.0100000,126.2900000,3757400
20220727,000000,125.9400000,127.7500000,125.0100000,126.0000000,4794600
20220728,000000,125.9900000,126.6900000,124.0000000,125.2700000,3022250
20220729,000000,125.2300000,126.0000000,124.1300000,125.5500000,3026860
20220801,000000,125.5000000,125.5500000,122.0600000,122.0600000,5184770
20220802,000000,121.8700000,122.7500000,120.3500000,122.0000000,3008130
20220803,000000,122.3900000,123.3800000,121.1000000,121.2700000,2256160
20220804,000000,121.7900000,122.1800000,120.8200000,121.3700000,2011440
20220805,000000,121.6000000,121.7700000,116.2300000,117.0000000,6185450
20220808,000000,119.2000000,120.4600000,118.0000000,118.9100000,4036050
20220809,000000,119.0100000,120.3000000,117.5100000,120.0500000,3837530
20220810,000000,120.2200000,120.9900000,118.8600000,119.7800000,3024300
20220811,000000,120.1000000,120.7100000,117.8000000,118.0000000,3389490
20220812,000000,118.0000000,119.3500000,117.0000000,119.0900000,3079400
20220815,000000,118.9700000,119.7200000,118.3100000,119.1300000,2480020
20220816,000000,119.3000000,121.1000000,119.0200000,120.6000000,2578410
20220817,000000,120.9800000,121.5100000,119.8000000,119.9500000,2219030
20220818,000000,120.3600000,121.9300000,119.3100000,121.7300000,1980680
20220819,000000,121.3300000,121.6500000,120.3000000,120.6500000,2225640
20220822,000000,120.5000000,121.9000000,120.2200000,121.3900000,1924570
20220823,000000,121.6300000,125.4900000,121.4500000,125.3900000,4109760
20220824,000000,125.6100000,126.4000000,123.0500000,123.1700000,2896510
20220825,000000,123.4500000,124.6000000,122.1300000,123.4000000,2455610
